Temp,Lim,Volume,POP,CellVol,POC,PON,Chl,Growth
15,N,10,3.79E-08,241.4,6.30E-06,4.10E-07,5.68E-04,0.09
15,N,10,3.94E-08,237.4,6.17E-06,4.17E-07,6.35E-04,0.09
15,N,10,3.37E-08,231.7,6.65E-06,5.10E-07,6.35E-04,0.09
20,N,90,7.84E-08,566.05,1.67E-05,3.02E-06,1.36E-03,1.386294361
20,N,90,7.69E-08,560.28,1.75E-05,2.71E-06,1.43E-03,1.386294361
20,N,90,8.72E-08,571.86,1.78E-05,3.12E-06,1.31E-03,1.386294361
20,N,80,6.79E-08,489.47,1.27E-05,1.62E-06,1.15E-03,1.098612289
20,N,80,7.79E-08,492.41,1.33E-05,1.94E-06,1.19E-03,1.098612289
20,N,80,7.60E-08,497.09,1.27E-05,1.86E-06,1.24E-03,1.098612289
20,N,70,5.71E-08,467.8,1.18E-05,1.56E-06,1.12E-03,0.875468737
20,N,70,6.23E-08,472.11,1.13E-05,1.48E-06,9.55E-04,0.875468737
20,N,70,5.69E-08,472.33,1.21E-05,1.48E-06,5.00E-04,0.875468737
20,N,60,1.11E-07,361.3,7.38E-06,6.83E-07,0.000565159,0.69
20,N,60,1.00E-07,353.4,9.22E-06,7.66E-07,0.000652797,0.69
20,N,60,1.15E-07,357.7,1.07E-05,1.01E-06,0.000652931,0.69
20,N,50,1.14E-07,341.5,9.83E-06,9.35E-07,0.000454291,0.54
20,N,50,1.07E-07,337.1,8.71E-06,8.22E-07,0.000392949,0.54
20,N,50,1.13E-07,325.5,7.52E-06,6.48E-07,0.000395709,0.54
20,N,40,9.72E-08,277.4,1.01E-05,6.40E-07,0.000331939,0.41
20,N,40,8.47E-08,280.3,8.74E-06,5.25E-07,0.000315895,0.41
20,N,40,9.44E-08,286.4,7.80E-06,4.11E-07,0.000338081,0.41
20,N,30,7.05E-08,240.4,7.38E-06,3.84E-07,0.000201621,0.29
20,N,30,6.44E-08,240.3,5.98E-06,3.04E-07,0.000207552,0.29
20,N,30,5.67E-08,243.1,6.55E-06,3.36E-07,0.000197905,0.29
20,N,20,5.14E-08,242.6,7.87E-06,3.73E-07,0.000214724,0.18
20,N,20,5.74E-08,204.7,8.27E-06,3.68E-07,0.000217935,0.18
20,N,20,4.70E-08,255,7.82E-06,3.60E-07,0.000218863,0.18
20,N,10,3.24E-08,245.5,6.26E-06,4.48E-07,0.00064177,0.09
20,N,10,3.32E-08,241.4,7.39E-06,4.81E-07,0.000591121,0.09
20,N,10,3.37E-08,238.5,5.87E-06,3.82E-07,0.000622532,0.09
25,N,90,1.38E-07,489.92,1.30E-05,2.17E-06,0.00164284,1.386294361
25,N,90,9.09E-08,489.4,1.27E-05,2.18E-06,0.001506822,1.386294361
25,N,90,9.60E-08,508.02,1.49E-05,2.34E-06,0.002046366,1.386294361
25,N,80,5.86E-08,491.8,1.32E-05,1.92E-06,0.001309575,1.098612289
25,N,80,6.98E-08,488.8,1.12E-05,1.44E-06,0.001279339,1.098612289
25,N,80,7.25E-08,484.09,1.21E-05,1.54E-06,0.001292786,1.098612289
25,N,70,5.28E-08,434.6,1.15E-05,1.62E-06,0.001145248,0.875468737
25,N,70,6.27E-08,443.47,1.24E-05,1.69E-06,0.001177712,0.875468737
25,N,70,5.46E-08,452.96,1.31E-05,1.83E-06,0.001304267,0.875468737
25,N,60,7.82E-08,368.2,8.60E-06,1.17E-06,0.000994324,0.69
25,N,60,9.66E-08,355.6,7.91E-06,1.22E-06,0.000988693,0.69
25,N,60,1.02E-07,374.9,8.37E-06,1.24E-06,0.001233874,0.69
25,N,50,6.37E-08,296,6.10E-06,8.04E-07,0.00073573,0.54
25,N,50,6.65E-08,293.6,6.82E-06,7.89E-07,0.000668295,0.54
25,N,50,8.18E-08,297.1,8.19E-06,9.56E-07,0.000772402,0.54
25,N,40,6.47E-08,267.8,7.43E-06,8.12E-07,0.000629845,0.41
25,N,40,4.81E-08,269.5,7.40E-06,7.98E-07,0.000633993,0.41
25,N,40,6.04E-08,273.5,7.32E-06,7.73E-07,0.000676129,0.41
25,N,30,4.34E-08,223,6.55E-06,6.60E-07,0.000549651,0.29
25,N,30,6.83E-08,241.2,6.65E-06,6.86E-07,0.000556184,0.29
25,N,30,4.23E-08,226.3,5.82E-06,6.53E-07,0.000440161,0.29
25,N,20,3.33E-08,218.1,6.21E-06,5.14E-07,0.000399509,0.18
25,N,20,3.32E-08,209.4,5.60E-06,5.05E-07,0.0003935,0.18
25,N,20,4.48E-08,226.6,6.14E-06,4.66E-07,0.000395153,0.18
25,N,10,3.07E-08,196.3,5.57E-06,6.74E-07,0.000674168,0.09
25,N,10,4.22E-08,198.3,6.09E-06,6.73E-07,0.000683011,0.09
25,N,10,2.70E-08,185.9,4.97E-06,6.06E-07,0.000544294,0.09
30,P,90,8.07E-08,539.19,1.51E-05,1.97E-06,0.002548878,1.386
30,P,90,6.73E-08,566.05,1.59E-05,2.07E-06,0.002592151,1.386
30,P,90,5.29E-08,550.48,1.54E-05,1.86E-06,0.002746062,1.386
30,P,70,6.38E-08,511.88,1.28E-05,1.65E-06,0.001742426,0.875
30,P,70,6.38E-08,528.06,1.39E-05,1.77E-06,0.001789266,0.875
30,P,70,3.09E-07,544.82,1.46E-05,1.75E-06,0.002047843,0.875
30,P,50,2.34E-08,435.64,9.90E-06,1.19E-06,0.00126153,0.539
30,P,50,2.91E-08,430.25,9.90E-06,1.16E-06,0.001497678,0.539
30,P,50,2.36E-08,419.25,1.05E-05,1.26E-06,0.001684728,0.539
30,P,30,4.30E-08,348.49,7.52E-06,8.93E-07,0.001297852,0.288
30,P,30,2.52E-08,348.49,7.07E-06,9.50E-07,0.00126698,0.288
30,P,30,5.97E-08,326.7,7.52E-06,9.54E-07,0.001269257,0.288
30,P,10,7.81E-08,381.13,8.58E-06,9.74E-07,0.001042442,0.087
30,P,10,7.75E-08,359.38,8.87E-06,1.09E-06,0.001133117,0.087
30,P,10,6.86E-08,343.07,7.91E-06,9.23E-07,0.00106817,0.087
10,N,70,2.10E-07,952.63,2.15E-05,3.66E-06,0.001539366,0.875
10,N,70,2.00E-07,946.79,2.05E-05,3.15E-06,0.001548692,0.875
10,N,70,1.69E-07,881.9,1.89E-05,1.50E-06,0.001600189,0.875
10,N,50,6.11E-08,484.61,8.33E-06,6.81E-07,0.000967188,0.539
10,N,50,6.90E-08,495.43,9.50E-06,7.09E-07,0.001195967,0.539
10,N,50,7.08E-08,479.18,9.24E-06,5.76E-07,0.000972245,0.539
10,N,30,4.30E-08,343.07,5.54E-06,5.47E-07,0.000824902,0.288
10,N,30,4.19E-08,359.38,5.65E-06,3.81E-07,0.000943004,0.288
10,N,30,4.13E-08,343.07,6.25E-06,4.99E-07,0.000879879,0.288
10,N,10,4.34E-08,266.84,4.43E-06,5.21E-07,0.000713144,0.087
10,N,10,4.62E-08,266.84,5.23E-06,7.30E-07,0.000686698,0.087
10,N,10,4.67E-08,266.84,4.78E-06,6.46E-07,0.000764705,0.087
30,N,90,1.43E-07,604.09,2.05E-05,,0.002200265,1.386294361
30,N,90,1.97E-07,659.25,2.41E-05,6.12E-06,0.002339058,1.386294361
30,N,90,3.03E-07,664.76,2.12E-05,,0.002701251,1.386294361
30,N,70,1.29E-07,478.22,1.41E-05,1.19E-06,0.001336947,0.875468737
30,N,70,1.42E-07,457.39,1.48E-05,1.09E-06,0.000986177,0.875468737
30,N,70,1.14E-07,451.96,1.32E-05,9.35E-07,0.000959729,0.875468737
30,N,50,1.23E-07,441.08,1.60E-05,9.79E-07,0.000985835,0.538996501
30,N,50,1.44E-07,457.39,1.76E-05,2.04E-06,0.000929604,0.538996501
30,N,50,1.54E-07,446.5,2.00E-05,9.86E-07,0.000879441,0.538996501
30,N,30,3.41E-08,364.72,6.30E-06,1.41E-06,0.001059284,0.287682072
30,N,30,4.25E-08,364.85,7.69E-06,1.11E-06,0.001175702,0.287682072
30,N,30,3.66E-08,348.49,6.53E-06,1.17E-06,0.001128706,0.287682072
30,N,10,6.22E-08,364.85,7.65E-06,9.19E-07,0.001286013,0.087011377
30,N,10,7.19E-08,392.03,7.75E-06,4.69E-06,0.001180947,0.087011377
30,N,10,7.77E-08,397.5,8.46E-06,2.96E-06,0.001068932,0.087011377
